date,Plate.SN,DIV,well,wllq,wllq_notes,affected_endpoints
20201118,MW71-7108,all,A1,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,A2,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,A3,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,A4,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,A5,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,A6,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,A7,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,A8,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,B1,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,B2,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,B3,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,B4,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,B5,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,B6,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,B7,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7108,all,B8,1,"Momentarily misdosed on DIV5, then aspirated and redosed","mea,CTB,LDH"
20201118,MW71-7107,all,all,1, Incubator CO2 supply cutoff for a period of time during DIV10 8 DIV11. 11.30.20 SC,"mea,CTB,LDH"
20201118,MW71-7108,all,all,1, Incubator CO2 supply cutoff for a period of time during DIV10 8 DIV11. 11.30.20 SC,"mea,CTB,LDH"
20201118,MW71-7109,all,all,1, Incubator CO2 supply cutoff for a period of time during DIV10 8 DIV11. 11.30.20 SC,"mea,CTB,LDH"
20201209,MW72-8203,all,all,0,Exceptionally high optical density values in control wells,LDH
